type	latitude	longitude	altitude (m)	name	desc
T	-12.011554785	-76.949499303	309.1		
T	-12.011572314	-76.949730423	310.2		
T	-12.011582327	-76.949862433	310.9		
T	-12.011597916	-76.950093564	312.0		
T	-12.011614097	-76.950357891	313.1		
T	-12.011622187	-76.950490029	313.6		
T	-12.011703755	-76.950683466	314.0		
T	-12.011746529	-76.950813115	314.2		
T	-12.011788928	-76.950942855	316.5		
T	-12.011804429	-76.951140185	321.0		
T	-12.011855964	-76.951301400	324.3		
T	-12.011871546	-76.951431524	327.1		
T	-12.011925707	-76.951558307	329.4		
T	-12.011955737	-76.951718426	334.4		
T	-12.012006460	-76.951812127	339.2		
T	-12.012053982	-76.952033853	351.6		
T	-12.012109374	-76.952219657	362.1		
T	-12.012155893	-76.952373665	371.1		
T	-12.012240273	-76.952615930	384.7		
T	-12.012293289	-76.952766217	392.6		
T	-12.012314856	-76.952826018	395.7		
T	-12.012392859	-76.953033599	406.5		
T	-12.012371225	-76.953156741	412.9		
T	-12.012396115	-76.953305489	420.6		
T	-12.012409347	-76.953424296	427.8		
T	-12.012434539	-76.953571456	437.0		
T	-12.012447913	-76.953689235	444.4		
T	-12.012442294	-76.953837073	453.7		
T	-12.012396538	-76.953989348	463.6		
T	-12.012441915	-76.954135577	472.5		
T	-12.012459028	-76.954226671	475.4		
T	-12.012467687	-76.954418046	478.7		
T	-12.012468344	-76.954450246	479.2		
T	-12.012497187	-76.954578708	481.0		
T	-12.012526213	-76.954924238	485.2		
T	-12.012580312	-76.955020393	483.2		
T	-12.012581368	-76.955117497	482.9		
T	-12.012583824	-76.955344237	482.0		
T	-12.012586375	-76.955473493	481.5		
T	-12.012593574	-76.955633239	480.7		
T	-12.012601600	-76.955727377	480.1		
T	-12.012538117	-76.956026363	471.5		
T	-12.012494502	-76.956177754	463.7		
T	-12.012349101	-76.956353170	452.7		
T	-12.012290056	-76.956579768	438.7		
T	-12.012240121	-76.956769994	427.0		
T	-12.012212232	-76.956883666	420.0		
T	-12.012165845	-76.957140656	404.0		
T	-12.012152120	-76.957315059	393.3		
T	-12.012143727	-76.957486831	382.8		
T	-12.012231514	-76.957602127	378.3		
T	-12.012303431	-76.957775119	370.5		
T	-12.012331483	-76.957924195	363.2		
T	-12.012295110	-76.958229680	346.9		
T	-12.012256370	-76.958421610	337.8		
T	-12.012211507	-76.958651849	329.1		
T	-12.012185098	-76.958837780	322.4		
T	-12.012163633	-76.958987516	317.1		
T	-12.012150674	-76.959098174	313.2		
T	-12.012146093	-76.959306265	309.5		
T	-12.012150869	-76.959474620	307.9		
T	-12.012155625	-76.959643000	306.3		
T	-12.012159432	-76.959777761	305.0		
T	-12.012168478	-76.960012082	302.8		
T	-12.012137864	-76.960116781	302.7		
T	-12.012143822	-76.960250226	302.3		
T	-12.012149780	-76.960383688	301.9		
T	-12.012090722	-76.960626437	301.9		
T	-12.012095205	-76.960726605	301.6		
T	-12.012067736	-76.960898259	301.5		
T	-12.012040250	-76.961070011	301.3		
T	-12.011979364	-76.961279998	301.3		
T	-12.011955497	-76.961518392	300.7		
T	-12.011929088	-76.961689673	300.4		
T	-12.011932414	-76.961756340	300.1		
T	-12.011907185	-76.961995714	299.5		
T	-12.011912658	-76.962130184	299.0		
T	-12.011916603	-76.962231053	298.7		
T	-12.011886988	-76.962370458	298.4		
T	-12.011790156	-76.962587147	298.2		
T	-12.011724816	-76.962732452	298.1		
T	-12.011729528	-76.962867666	297.8		
T	-12.011733061	-76.962969104	297.5		
T	-12.011666055	-76.963081125	297.6		
T	-12.011671940	-76.963250335	297.2		
T	-12.011609557	-76.963498085	298.0		
T	-12.011614290	-76.963633586	298.4		
T	-12.011621772	-76.963801676	298.9		
T	-12.011632247	-76.964037046	299.6		
T	-12.011640405	-76.964204554	299.9		
T	-12.011617422	-76.964409013	299.3		
T	-12.011724472	-76.964426199	298.5		
T	-12.011753443	-76.964321374	298.6		
T	-12.011744498	-76.964154649	299.2		
T	-12.011803274	-76.963874683	297.8		
T	-12.011867974	-76.963729294	296.9		
T	-12.011966393	-76.963545032	295.7		
T	-12.011962035	-76.963444329	295.5		
T	-12.011957297	-76.963309154	295.3		
T	-12.011949012	-76.963072676	296.0		
T	-12.011941587	-76.962870219	296.6		
T	-12.011933695	-76.962668313	297.2		
T	-12.012031658	-76.962485349	297.3		
T	-12.012027710	-76.962384510	297.6		
T	-12.012127369	-76.962235219	297.6		
T	-12.012221669	-76.961951708	297.9		
T	-12.012254365	-76.961913916	297.8		
T	-12.012346245	-76.961667192	297.9		
T	-12.012439024	-76.961385596	297.5		
T	-12.012466542	-76.961213981	297.3		
T	-12.012494044	-76.961042468	297.1		
T	-12.012486778	-76.960875741	297.1		
T	-12.012478300	-76.960675509	297.8		
T	-12.012468488	-76.960441940	298.7		
T	-12.012455594	-76.960141905	299.9		
T	-12.012447001	-76.959941934	301.1		
T	-12.012439586	-76.959775473	303.1		
T	-12.012435711	-76.959640993	304.7		
T	-12.012436818	-76.959434822	307.1		
T	-12.012507718	-76.959288430	308.6		
T	-12.012507656	-76.959015069	316.3		
T	-12.012507773	-76.958980895	317.7		
T	-12.012522298	-76.958767754	326.6		
T	-12.012628431	-76.958533234	338.2		
T	-12.012663791	-76.958308540	348.6		
T	-12.012630235	-76.958127196	357.4		
T	-12.012660390	-76.957941143	367.6		
T	-12.012613631	-76.957719872	378.3		
T	-12.012611161	-76.957572261	386.0		
T	-12.012621680	-76.957317894	399.9		
T	-12.012619697	-76.957171551	407.9		
T	-12.012661725	-76.957016976	416.8		
T	-12.012725996	-76.956784745	429.8		
T	-12.012773257	-76.956596235	439.4		
T	-12.012820334	-76.956441419	445.8		
T	-12.012872892	-76.956252305	452.7		
T	-12.012896128	-76.956143148	456.3		
T	-12.012866944	-76.955928891	465.3		
T	-12.012845569	-76.955841023	469.6		
T	-12.012810708	-76.955628577	470.9		
T	-12.012795750	-76.955472112	471.4		
T	-12.012817164	-76.955278206	469.9		
T	-12.012835667	-76.955085638	468.5		
T	-12.012879601	-76.954567497	463.1		
T	-12.012879063	-76.954502662	462.8		
T	-12.012905714	-76.954372100	460.9		
T	-12.012902923	-76.954178335	460.0		
T	-12.012981944	-76.954046868	453.3		
T	-12.013010896	-76.953883116	447.5		
T	-12.013018821	-76.953662247	440.7		
T	-12.012971300	-76.953426864	433.0		
T	-12.012916906	-76.953282021	425.9		
T	-12.012885056	-76.953194212	420.1		
T	-12.012855105	-76.953105548	414.5		
T	-12.012809666	-76.952988755	407.1		
T	-12.012697696	-76.952726793	391.4		
T	-12.012601661	-76.952582564	383.3		
T	-12.012503359	-76.952437776	375.0		
T	-12.012460835	-76.952316855	367.2		
T	-12.012359555	-76.952137967	356.2		
T	-12.012267032	-76.951922240	343.4		
T	-12.012203381	-76.951765421	334.5		
T	-12.012207102	-76.951603297	327.1		
T	-12.012181870	-76.951442227	323.9		
T	-12.012169798	-76.951311540	321.2		
T	-12.012153174	-76.951114990	317.1		
T	-12.012134391	-76.950852229	311.5		
T	-12.012126887	-76.950720421	310.6		
T	-12.012122960	-76.950654548	310.3		
T	-12.012145887	-76.950421321	309.0		
T	-12.012137726	-76.950256424	308.3		
T	-12.012152709	-76.949991188	306.9		
T	-12.012177579	-76.949890712	306.1		
T	-12.012218959	-76.949657535	304.6		
T	-12.012208925	-76.949426444	303.5		
T	-12.012226733	-76.949227083	302.3		
T	-12.012276889	-76.949125278	301.7		
T	-12.012398245	-76.948986082	301.2		
T	-12.012495437	-76.948749045	301.5		
T	-12.012595861	-76.948611205	301.7		
T	-12.012628440	-76.948543370	301.8		
T	-12.012726056	-76.948340117	302.2		
T	-12.012718282	-76.948142767	302.4		
T	-12.012712502	-76.948011287	302.5		
T	-12.012772353	-76.947777694	302.5		
T	-12.012836461	-76.947642889	302.3		
T	-12.012896668	-76.947442599	302.3		
T	-12.012985080	-76.947109779	302.9		
T	-12.013112186	-76.946874229	303.1		
T	-12.013244508	-76.946737310	303.1		
T	-12.013332874	-76.946406066	303.3		
T	-12.013427929	-76.946206038	303.2		
T	-12.013451177	-76.946008701	303.4		
T	-12.013480491	-76.945909458	303.4		
T	-12.013473970	-76.945778907	303.4		
T	-12.013464391	-76.945583146	303.2		
T	-12.013487918	-76.945288788	302.8		
T	-12.013474725	-76.945060287	302.6		
T	-12.013530105	-76.944861978	302.3		
T	-12.013525861	-76.944796629	302.3		
T	-12.013513080	-76.944568185	302.3		
T	-12.013501782	-76.944372325	302.2		
T	-12.013536043	-76.944274503	302.2		
T	-12.013554752	-76.944012481	302.6		
T	-12.013552698	-76.943979816	302.7		
T	-12.013579060	-76.943751739	303.3		
T	-12.013633980	-76.943425438	304.1		
T	-12.013665910	-76.943359911	304.3		
T	-12.013661866	-76.943230377	304.7		
T	-12.013715631	-76.942968537	305.4		
T	-12.013707366	-76.942806011	305.8		
T	-12.013697385	-76.942578885	306.5		
T	-12.013757492	-76.942383464	306.7		
T	-12.013823311	-76.942317888	306.6		
T	-12.014020346	-76.942121578	306.4		
T	-12.014079790	-76.941926845	306.6		
T	-12.014111079	-76.941861936	306.7		
T	-12.014138448	-76.941700325	307.0		
T	-12.014196213	-76.941441996	308.1		
T	-12.014256001	-76.941248254	309.1		
T	-12.014284491	-76.941119247	309.6		
T	-12.014306233	-76.940861043	310.7		
T	-12.014362706	-76.940603377	310.9		
T	-12.014351134	-76.940345789	311.0		
T	-12.014345351	-76.940217020	311.1		
T	-12.014338136	-76.940024554	311.2		
T	-12.014332324	-76.939864314	311.5		
T	-12.014326280	-76.939704015	311.8		
T	-12.014319954	-76.939543638	312.1		
T	-12.014313153	-76.939414518	312.3		
T	-12.014308409	-76.939286410	312.6		
T	-12.014390772	-76.938901003	312.8		
T	-12.014478860	-76.938644609	312.9		
T	-12.014576790	-76.938581688	313.2		
T	-12.014612196	-76.938614374	313.2		
T	-12.014723348	-76.938808815	313.1		
T	-12.014731729	-76.938969622	312.7		
T	-12.014739819	-76.939130281	312.4		
T	-12.014744122	-76.939226398	312.3		
T	-12.014784392	-76.939386643	312.1		
T	-12.014790129	-76.939514811	312.0		
T	-12.014834693	-76.939771147	311.9		
T	-12.014840175	-76.939899221	311.9		
T	-12.014850519	-76.940155147	311.5		
T	-12.014856326	-76.940283436	311.3		
T	-12.014867942	-76.940540053	310.8		
T	-12.014870848	-76.940604217	310.6		
T	-12.014776807	-76.940764631	310.4		
T	-12.014754586	-76.941021609	309.9		
T	-12.014758935	-76.941118000	309.7		
T	-12.014729449	-76.941214494	309.4		
T	-12.014673106	-76.941471924	308.7		
T	-12.014610920	-76.941600867	308.3		
T	-12.014549068	-76.941730169	307.6		
T	-12.014456244	-76.941924376	306.6		
T	-12.014461018	-76.942021238	306.3		
T	-12.014430044	-76.942086072	306.0		
T	-12.014369632	-76.942248164	305.4		
T	-12.014380320	-76.942442470	304.7		
T	-12.014316633	-76.942540174	304.6		
T	-12.014325205	-76.942733887	304.5		
T	-12.014294695	-76.942799116	304.6		
T	-12.014301814	-76.942960685	304.5		
T	-12.014275218	-76.943154828	304.5		
T	-12.014282707	-76.943316553	304.4		
T	-12.014254566	-76.943446594	304.3		
T	-12.014260558	-76.943576039	304.1		
T	-12.014230902	-76.943673835	304.0		
T	-12.014171540	-76.943869596	303.7		
T	-12.014179031	-76.944031581	303.3		
T	-12.014186545	-76.944193593	302.9		
T	-12.014195754	-76.944388061	302.2		
T	-12.014206814	-76.944615042	301.4		
T	-12.014180639	-76.944778188	300.8		
T	-12.014186957	-76.944907947	300.4		
T	-12.014131145	-76.945169634	300.3		
T	-12.014139922	-76.945364322	300.5		
T	-12.014043358	-76.945497688	301.0		
T	-12.014014225	-76.945596389	301.3		
T	-12.013987172	-76.945727730	301.5		
T	-12.013897773	-76.945991769	301.8		
T	-12.013801288	-76.946125844	302.0		
T	-12.013704222	-76.946260257	302.2		
T	-12.013615276	-76.946557895	302.1		
T	-12.013554929	-76.946723985	302.0		
T	-12.013460002	-76.946891718	301.8		
T	-12.013365777	-76.947092336	301.4		
T	-12.013372441	-76.947223218	300.9		
T	-12.013311415	-76.947389992	300.5		
T	-12.013248474	-76.947524199	300.4		
T	-12.013185470	-76.947658549	300.7		
T	-12.013120827	-76.947760273	300.9		
T	-12.013060461	-76.947960576	301.1		
T	-12.013031870	-76.948126304	301.2		
T	-12.013038664	-76.948290446	301.1		
T	-12.012976026	-76.948458282	300.9		
T	-12.012943628	-76.948525913	300.8		
T	-12.012843751	-76.948663278	300.7		
T	-12.012679889	-76.948969619	300.2		
T	-12.012578273	-76.949074720	300.1		
T	-12.012521710	-76.949210049	300.2		
T	-12.012479639	-76.949410185	301.3		
T	-12.012493502	-76.949574223	302.0		
T	-12.012487124	-76.949871081	303.5		
T	-12.012481380	-76.950101295	304.6		
T	-12.012455912	-76.950267928	305.7		
T	-12.012467253	-76.950465121	306.5		
T	-12.012475069	-76.950596526	307.1		
T	-12.012482886	-76.950727920	307.6		
T	-12.012490697	-76.950859303	308.6		
T	-12.012507094	-76.951088627	313.2		
T	-12.012524438	-76.951284372	317.1		
T	-12.012544965	-76.951512594	321.6		
T	-12.012586873	-76.951735764	329.0		
T	-12.012605019	-76.951831081	335.1		
T	-12.012649585	-76.952085429	351.6		
T	-12.012677352	-76.952210827	359.8		
T	-12.012813625	-76.952352824	368.8		
T	-12.012910134	-76.952491248	377.9		
T	-12.012956698	-76.952576651	383.2		
T	-12.013020046	-76.952755098	394.4		
T	-12.013076464	-76.952934457	406.1		
T	-12.013146504	-76.953140902	420.2		
T	-12.013208512	-76.953316004	432.7		
T	-12.013277639	-76.953487630	437.3		
T	-12.013350735	-76.953632921	438.9		
T	-12.013367049	-76.953788742	440.1		
T	-12.013358611	-76.953953978	442.1		
T	-12.013331661	-76.954126345	444.6		
T	-12.013321594	-76.954292838	444.5		
T	-12.013319070	-76.954456628	443.5		
T	-12.013315262	-76.954653869	442.4		
T	-12.013316825	-76.954783688	441.4		
T	-12.013291053	-76.954914379	442.0		
T	-12.013241103	-76.955142415	446.0		
T	-12.013255403	-76.955365170	447.8		
T	-12.013218585	-76.955587297	452.0		
T	-12.013185121	-76.955709572	454.8		
T	-12.013236871	-76.955946467	451.8		
T	-12.013208186	-76.956065706	450.4		
T	-12.013222655	-76.956156371	448.3		
T	-12.013216766	-76.956289849	445.8		
T	-12.013169994	-76.956509158	441.7		
T	-12.013163844	-76.956722926	435.5		
T	-12.013170756	-76.956864946	428.8		
T	-12.013197328	-76.956996881	422.7		
T	-12.013186840	-76.957134624	416.1		
T	-12.013147394	-76.957354368	405.1		
T	-12.013116458	-76.957471182	399.0		
T	-12.013066978	-76.957665541	388.6		
T	-12.013001372	-76.957937173	374.0		
T	-12.013058298	-76.958069965	368.4		
T	-12.013034998	-76.958184433	362.3		
T	-12.012986667	-76.958381519	351.7		
T	-12.012975256	-76.958608404	341.0		
T	-12.012926201	-76.958842232	329.4		
T	-12.012906227	-76.959059175	319.3		
T	-12.012896801	-76.959269303	312.5		
T	-12.012896987	-76.959508258	308.2		
T	-12.012935650	-76.959911145	301.1		
T	-12.012939174	-76.960011365	299.4		
T	-12.012942873	-76.960111557	298.9		
T	-12.012952930	-76.960344172	297.8		
T	-12.012958678	-76.960477120	297.1		
T	-12.012968448	-76.960710035	295.9		
T	-12.012979259	-76.960976584	295.2		
T	-12.012986435	-76.961142873	295.0		
T	-12.012995233	-76.961342372	294.9		
T	-12.012901655	-76.961589750	295.1		
T	-12.012875733	-76.961794437	294.5		
T	-12.012882836	-76.961961142	293.5		
T	-12.012757603	-76.962280808	292.9		
T	-12.012694197	-76.962389510	293.1		
T	-12.012696816	-76.962456477	292.8		
T	-12.012633866	-76.962634110	293.1		
T	-12.012604327	-76.962773282	293.0		
T	-12.012541460	-76.962951097	293.0		
T	-12.012480087	-76.963162462	292.7		
T	-12.012452223	-76.963335207	292.3		
T	-12.012461829	-76.963535264	292.3		
T	-12.012437559	-76.963774477	292.5		
T	-12.012444521	-76.963942293	292.5		
T	-12.012417155	-76.964114560	292.8		
T	-12.012423647	-76.964247972	292.4		
T	-12.012396458	-76.964420863	291.8		
T	-12.012471236	-76.964509558	290.6		
T	-12.012612773	-76.964555171	289.9		
T	-12.012748858	-76.964431635	290.0		
T	-12.012846331	-76.964212964	290.6		
T	-12.012909371	-76.964068986	290.5		
T	-12.012934365	-76.963864163	290.2		
T	-12.012998939	-76.963753675	289.9		
T	-12.012989187	-76.963554455	289.8		
T	-12.012979792	-76.963354953	289.7		
T	-12.012976842	-76.963288239	289.7		
T	-12.013003008	-76.963082753	289.4		
T	-12.012998715	-76.962982700	289.4		
T	-12.013058145	-76.962738853	288.6		
T	-12.013044918	-76.962439293	288.9		
T	-12.013140497	-76.962258530	289.2		
T	-12.013201787	-76.962082668	290.1		
T	-12.013327491	-76.961797478	291.8		
T	-12.013319054	-76.961598145	293.1		
T	-12.013383719	-76.961454309	293.0		
T	-12.013378648	-76.961355417	293.2		
T	-12.013366462	-76.961090508	293.6		
T	-12.013359476	-76.960958746	293.8		
T	-12.013319211	-76.960796299	294.3		
T	-12.013312431	-76.960630108	295.3		
T	-12.013301225	-76.960364544	296.9		
T	-12.013295311	-76.960197801	297.9		
T	-12.013290579	-76.960064446	298.7		
T	-12.013286654	-76.959930750	300.7		
T	-12.013281869	-76.959763567	304.6		
T	-12.013243148	-76.959634532	307.4		
T	-12.013210983	-76.959500382	310.3		
T	-12.013250234	-76.959235902	316.5		
T	-12.013257834	-76.959061374	323.4		
T	-12.013220169	-76.958966200	327.6		
T	-12.013234743	-76.958821085	335.0		
T	-12.013254358	-76.958707146	340.9		
T	-12.013265590	-76.958413074	355.7		
T	-12.013342065	-76.958131362	370.8		
T	-12.013376828	-76.957976519	378.6		
T	-12.013469396	-76.957770875	388.1		
T	-12.013572517	-76.957609575	394.3		
T	-12.013574213	-76.957575495	395.6		
T	-12.013657605	-76.957342067	403.0		
T	-12.013721717	-76.957203771	406.5		
T	-12.013786725	-76.957032199	410.4		
T	-12.013860701	-76.956855792	413.4		
T	-12.013880658	-76.956647562	418.0		
T	-12.013908083	-76.956468853	417.1		
T	-12.013888093	-76.956367062	418.1		
T	-12.013872639	-76.956113101	419.1		
T	-12.013811159	-76.955934179	422.8		
T	-12.013751794	-76.955753766	425.5		
T	-12.013741345	-76.955693281	425.5		
T	-12.013711523	-76.955510622	425.1		
T	-12.013687337	-76.955226698	423.3		
T	-12.013680380	-76.955033231	421.5		
T	-12.013679190	-76.954804495	424.4		
T	-12.013740312	-76.954734974	422.9		
T	-12.013818701	-76.954527659	423.6		
T	-12.013838815	-76.954324153	427.1		
T	-12.013916397	-76.954215960	427.1		
T	-12.013984915	-76.954014051	426.2		
T	-12.014043751	-76.953881065	424.7		
T	-12.014044134	-76.953751277	424.7		
T	-12.014047448	-76.953620619	424.7		
T	-12.014042882	-76.953395864	424.9		
T	-12.013977590	-76.953094586	414.0		
T	-12.013938813	-76.952977611	408.3		
T	-12.013892749	-76.952862501	402.5		
T	-12.013811211	-76.952659906	391.4		
T	-12.013749632	-76.952515039	382.9		
T	-12.013601724	-76.952347006	369.2		
T	-12.013464326	-76.952174613	355.9		
T	-12.013353797	-76.951933498	338.6		
T	-12.013302476	-76.951841338	332.3		
T	-12.013217489	-76.951591710	319.2		
T	-12.013187288	-76.951433116	316.3		
T	-12.013070760	-76.951344382	315.3		
T	-12.013065801	-76.951212929	312.7		
T	-12.013058786	-76.950949562	307.6		
T	-12.013115427	-76.950781564	304.9		
T	-12.013126537	-76.950518935	304.1		
T	-12.013141058	-76.950387731	303.6		
T	-12.013165219	-76.950254931	303.1		
T	-12.013192181	-76.950025301	302.4		
T	-12.013211102	-76.949827022	301.5		
T	-12.013242523	-76.949693132	300.7		
T	-12.013269047	-76.949460900	299.6		
T	-12.013364139	-76.949257915	298.4		
T	-12.013463155	-76.949153399	298.0		
T	-12.013563515	-76.949081737	298.1		
T	-12.013590861	-76.948948963	298.3		
T	-12.013616478	-76.948783546	298.5		
T	-12.013678184	-76.948616170	298.5		
T	-12.013770836	-76.948349063	298.4		
T	-12.013795815	-76.948151424	298.6		
T	-12.013823980	-76.948019208	298.7		
T	-12.013817830	-76.947888749	298.9		
T	-12.013807077	-76.947660483	299.2		
T	-12.013799466	-76.947497455	299.4		
T	-12.013793378	-76.947367045	299.8		
T	-12.013858839	-76.947298609	299.8		
T	-12.013915062	-76.947034859	300.2		
T	-12.013942476	-76.946903081	300.4		
T	-12.013969884	-76.946771361	300.5		
T	-12.013961498	-76.946608618	300.8		
T	-12.014060886	-76.946539240	300.5		
T	-12.014158519	-76.946437472	300.3		
T	-12.014223528	-76.946369709	300.4		
T	-12.014350145	-76.946169503	300.6		
T	-12.014444206	-76.946003405	300.6		
T	-12.014471848	-76.945872486	300.6		
T	-12.014532326	-76.945708045	300.5		
T	-12.014527348	-76.945610949	300.5		
T	-12.014556878	-76.945512516	300.5		
T	-12.014582686	-76.945349536	300.5		
T	-12.014574946	-76.945187805	300.5		
T	-12.014568806	-76.945058409	300.5		
T	-12.014594858	-76.944895616	300.8		
T	-12.014587303	-76.944733950	301.1		
T	-12.014616770	-76.944636017	301.4		
T	-12.014609214	-76.944474424	301.8		
T	-12.014637154	-76.944344295	302.0		
T	-12.014629601	-76.944182780	302.4		
T	-12.014622085	-76.944021293	302.5		
T	-12.014614588	-76.943859832	302.6		
T	-12.014610092	-76.943762965	302.7		
T	-12.014604099	-76.943633824	302.7		
T	-12.014692251	-76.943341443	302.5		
T	-12.014718198	-76.943179413	302.6		
T	-12.014745575	-76.943049776	302.7		
T	-12.014806872	-76.942919710	302.7		
T	-12.014899397	-76.942725059	302.8		
T	-12.014925960	-76.942563811	303.0		
T	-12.014951120	-76.942370564	304.0		
T	-12.014943775	-76.942209852	305.1		
T	-12.014930555	-76.941920627	307.1		
T	-12.014905721	-76.941374561	309.2		
T	-12.014864681	-76.941214125	309.5		
T	-12.014863234	-76.941182014	309.5		
T	-12.014885374	-76.940925108	310.0		
T	-12.014879566	-76.940796748	310.2		
T	-12.014942688	-76.940700569	310.4		
T	-12.014938310	-76.940604351	310.6		
T	-12.015067637	-76.940476615	310.8		
T	-12.015164446	-76.940380994	311.0		
T	-12.015223062	-76.940189383	311.3		
T	-12.015280868	-76.939997653	311.7		
T	-12.015274996	-76.939869788	311.7		
T	-12.015269125	-76.939741935	311.7		
T	-12.015257301	-76.939486241	311.7		
T	-12.015248064	-76.939294316	311.7		
T	-12.015339082	-76.939072422	311.9		
T	-12.015334774	-76.938976729	312.2		
T	-12.015579794	-76.938502595	313.1		
T	-12.015619720	-76.938630902	312.7		
T	-12.015626073	-76.938758507	312.4		
T	-12.015634697	-76.938949424	311.8		
T	-12.015775396	-76.939110426	311.2		
T	-12.015782590	-76.939269421	311.1		
T	-12.015789786	-76.939428445	311.1		
T	-12.015795543	-76.939555684	311.0		
T	-12.015701139	-76.939681943	311.2		
T	-12.015670256	-76.939745135	311.2		
T	-12.015576830	-76.939903441	311.3		
T	-12.015485261	-76.940063001	311.3		
T	-12.015424771	-76.940190629	311.1		
T	-12.015397038	-76.940318209	310.9		
T	-12.015404343	-76.940477968	310.6		
T	-12.015341520	-76.940573612	310.5		
T	-12.015350285	-76.940765470	310.1		
T	-12.015356131	-76.940893396	310.0		
T	-12.015364826	-76.941085283	310.0		
T	-12.015372054	-76.941245212	309.9		
T	-12.015380730	-76.941437162	309.9		
T	-12.015385069	-76.941533152	309.9		
T	-12.015390851	-76.941661153	309.9		
T	-12.015396636	-76.941789172	308.9		
T	-12.015409657	-76.942077276	306.5		
T	-12.015418698	-76.942269490	304.9		
T	-12.015461451	-76.942461465	303.3		
T	-12.015433650	-76.942589962	302.8		
T	-12.015372159	-76.942718967	302.6		
T	-12.015312434	-76.942880263	302.3		
T	-12.015286463	-76.943041302	301.9		
T	-12.015194497	-76.943235687	301.4		
T	-12.015100841	-76.943398249	301.2		
T	-12.015073190	-76.943527549	301.3		
T	-12.015045536	-76.943656960	301.4		
T	-12.015016314	-76.943754231	301.5		
T	-12.015025592	-76.943947466	301.7		
T	-12.015030141	-76.944044069	301.8		
T	-12.015106515	-76.944235568	301.6		
T	-12.015148009	-76.944395696	301.2		
T	-12.015189491	-76.944555760	300.7		
T	-12.015195725	-76.944684544	300.3		
T	-12.015132752	-76.944783038	300.5		
T	-12.015038925	-76.944947099	300.8		
T	-12.014975783	-76.945045869	300.9		
T	-12.014914095	-76.945177016	300.7		
T	-12.014916676	-76.945241497	300.7		
T	-12.014857355	-76.945405204	300.5		
T	-12.014832577	-76.945600152	300.4		
T	-12.014773904	-76.945796490	300.3		
T	-12.014780252	-76.945925827	300.3		
T	-12.014754343	-76.946088821	300.4		
T	-12.014725240	-76.946187198	300.5		
T	-12.014734770	-76.946381341	300.6		
T	-12.014644283	-76.946612193	300.6		
T	-12.014545733	-76.946681340	300.4		
T	-12.014414757	-76.946784522	300.0		
T	-12.014419782	-76.946881866	299.8		
T	-12.014392295	-76.947013148	299.5		
T	-12.014368996	-76.947241972	299.1		
T	-12.014308646	-76.947407576	298.8		
T	-12.014314796	-76.947537523	298.6		
T	-12.014283832	-76.947604186	298.5		
T	-12.014122603	-76.947807859	298.4		
T	-12.014061998	-76.947974127	298.1		
T	-12.014067204	-76.948071716	297.9		
T	-12.014078327	-76.948299594	297.4		
T	-12.014082259	-76.948397414	297.4		
T	-12.014088072	-76.948527719	297.4		
T	-12.014101196	-76.948820966	297.7		
T	-12.014105937	-76.948918704	297.8		
T	-12.014043672	-76.949053126	297.9		
T	-12.013984004	-76.949220180	298.1		
T	-12.013925328	-76.949452956	298.6		
T	-12.013893436	-76.949520445	298.8		
T	-12.013867170	-76.949685876	299.3		
T	-12.013845071	-76.949982381	300.1		
T	-12.013745101	-76.950087543	300.7		
T	-12.013608836	-76.950162545	301.3		
T	-12.013610100	-76.950195298	301.4		
T	-12.013513805	-76.950428815	302.3		
T	-12.013488105	-76.950528669	302.6		
T	-12.013398676	-76.950731530	303.5		
T	-12.013373110	-76.950864386	304.4		
T	-12.013349143	-76.950997280	307.1		
T	-12.013355599	-76.951128121	309.6		
T	-12.013373206	-76.951322851	313.2		
T	-12.013443022	-76.951510689	316.5		
T	-12.013557456	-76.951758635	325.7		
T	-12.013622269	-76.951880349	334.6		
T	-12.013668844	-76.952032883	346.0		
T	-12.013702106	-76.952122641	352.9		
T	-12.013794275	-76.952359464	371.5		
T	-12.013840999	-76.952476817	381.1		
T	-12.013899098	-76.952622740	389.9		
T	-12.013922242	-76.952680875	393.0		
T	-12.013979872	-76.952825618	400.5		
T	-12.014119646	-76.953055888	411.0		
T	-12.014127839	-76.953206677	417.8		
T	-12.014129552	-76.953423830	423.4		
T	-12.014131650	-76.953584798	423.1		
T	-12.014131142	-76.953746951	422.8		
T	-12.014128760	-76.953877385	422.6		
T	-12.014133327	-76.954070226	422.1		
T	-12.014138382	-76.954133173	421.9		
T	-12.014143272	-76.954358352	416.0		
T	-12.014124782	-76.954528784	411.8		
T	-12.014085324	-76.954741360	407.4		
T	-12.014056866	-76.954884738	404.8		
T	-12.014051495	-76.954985449	402.3		
T	-12.014047788	-76.955151083	403.5		
T	-12.014032113	-76.955408962	406.7		
T	-12.013964738	-76.955535062	411.5		
T	-12.013929909	-76.955657958	414.6		
T	-12.013960816	-76.955839711	414.6		
T	-12.013987652	-76.955990295	413.2		
T	-12.014016786	-76.956139367	411.9		
T	-12.014028086	-76.956264553	411.6		
T	-12.014026385	-76.956396631	411.9		
T	-12.014068701	-76.956599148	410.6		
T	-12.014081893	-76.956737897	408.8		
T	-12.014065555	-76.956911725	405.7		
T	-12.014054482	-76.957116042	401.5		
T	-12.013988999	-76.957255173	399.8		
T	-12.013931069	-76.957389990	397.4		
T	-12.013951688	-76.957642681	391.3		
