type	latitude	longitude	altitude (m)	name	desc
T	-12.010010941	-76.948789157	315.1		
T	-12.010022951	-76.948956180	315.4		
T	-12.010030157	-76.949056370	315.7		
T	-12.010085185	-76.949354863	316.8		
T	-12.010092482	-76.949488521	317.4		
T	-12.010107396	-76.949755868	318.6		
T	-12.010153153	-76.949920600	319.3		
T	-12.010162469	-76.950087632	319.9		
T	-12.010164331	-76.950121038	320.0		
T	-12.010171782	-76.950254658	320.4		
T	-12.010184623	-76.950488516	321.1		
T	-12.010225001	-76.950586429	321.2		
T	-12.010234524	-76.950787040	321.7		
T	-12.010322759	-76.950947901	322.4		
T	-12.010348480	-76.951111678	323.7		
T	-12.010400376	-76.951274497	325.2		
T	-12.010412390	-76.951440548	326.8		
T	-12.010385851	-76.951576112	327.9		
T	-12.010389935	-76.951608980	328.3		
T	-12.010370288	-76.951776792	330.2		
T	-12.010364384	-76.952042699	333.9		
T	-12.010343613	-76.952176979	335.4		
T	-12.010350616	-76.952405716	338.7		
T	-12.010331588	-76.952505614	339.8		
T	-12.010303754	-76.952803644	351.4		
T	-12.010345674	-76.952927385	357.9		
T	-12.010376735	-76.953019888	362.9		
T	-12.010490491	-76.953290127	379.2		
T	-12.010567267	-76.953468536	390.3		
T	-12.010617970	-76.953586875	397.6		
T	-12.010698602	-76.953795000	410.5		
T	-12.010625387	-76.954027043	417.0		
T	-12.010627136	-76.954192669	424.0		
T	-12.010655166	-76.954382635	431.6		
T	-12.010703431	-76.954532136	438.5		
T	-12.010707416	-76.954687643	443.5		
T	-12.010764912	-76.954832659	450.0		
T	-12.010794617	-76.955010657	455.9		
T	-12.010868514	-76.955180796	460.3		
T	-12.010914947	-76.955294575	463.2		
T	-12.010961195	-76.955407902	465.7		
T	-12.010982208	-76.955629162	466.6		
T	-12.011015612	-76.955767961	467.5		
T	-12.010978896	-76.955959263	460.5		
T	-12.010960687	-76.956110815	452.9		
T	-12.010984358	-76.956256226	446.3		
T	-12.010986804	-76.956478240	435.6		
T	-12.010912005	-76.956746491	421.4		
T	-12.010888170	-76.956858455	414.4		
T	-12.010848275	-76.957045660	402.8		
T	-12.010801948	-76.957270226	389.7		
T	-12.010776707	-76.957418045	381.3		
T	-12.010751868	-76.957566184	374.5		
T	-12.010715696	-76.957856325	364.6		
T	-12.010671453	-76.958152172	355.4		
T	-12.010667620	-76.958290975	350.5		
T	-12.010670595	-76.958391956	347.6		
T	-12.010610985	-76.958565420	346.8		
T	-12.010627903	-76.958932888	338.3		
T	-12.010660981	-76.959032767	334.5		
T	-12.010688846	-76.959169782	330.2		
T	-12.010731705	-76.959435887	325.6		
T	-12.010745890	-76.959633786	323.4		
T	-12.010805914	-76.959802804	320.6		
T	-12.010837112	-76.959904040	319.4		
T	-12.010959418	-76.960122628	315.8		
T	-12.011091311	-76.960110551	314.2		
T	-12.011092254	-76.959937263	315.6		
T	-12.010974775	-76.959802912	317.9		
T	-12.010910656	-76.959670164	319.5		
T	-12.010870276	-76.959505203	320.9		
T	-12.010863518	-76.959371676	321.6		
T	-12.010857066	-76.959203632	322.5		
T	-12.010880300	-76.959034711	325.3		
T	-12.010938043	-76.958827299	329.2		
T	-12.010939739	-76.958654993	333.0		
T	-12.010940419	-76.958586118	334.5		
T	-12.011034737	-76.958290944	341.1		
T	-12.011131354	-76.958063742	350.2		
T	-12.011181538	-76.957799204	361.5		
T	-12.011220976	-76.957609350	369.7		
T	-12.011279654	-76.957376832	382.3		
T	-12.011309401	-76.957260956	389.7		
T	-12.011334648	-76.957147483	397.0		
T	-12.011369401	-76.956962801	408.9		
T	-12.011443567	-76.956593392	432.5		
T	-12.011488048	-76.956439687	442.1		
T	-12.011455319	-76.956330859	448.3		
T	-12.011542771	-76.956093519	464.0		
T	-12.011620795	-76.955894829	478.0		
T	-12.011634831	-76.955702744	486.4		
T	-12.011616176	-76.955558648	490.3		
T	-12.011610746	-76.955420547	494.4		
T	-12.011476146	-76.955161390	494.7		
T	-12.011455561	-76.955104385	494.9		
T	-12.011391970	-76.954965847	492.1		
T	-12.011276676	-76.954714535	476.6		
T	-12.011232033	-76.954566939	469.1		
T	-12.011216142	-76.954506904	466.3		
T	-12.011231916	-76.954313010	461.1		
T	-12.011227680	-76.954060058	450.1		
T	-12.011179632	-76.953820429	434.1		
T	-12.011124054	-76.953706294	425.4		
T	-12.011143704	-76.953583447	419.4		
T	-12.011079535	-76.953470762	411.0		
T	-12.011065401	-76.953349343	404.1		
T	-12.011066023	-76.953256878	399.2		
T	-12.011033937	-76.953073543	388.3		
T	-12.011012426	-76.952759263	370.7		
T	-12.011049480	-76.952461528	356.8		
T	-12.011042324	-76.952296631	351.7		
T	-12.011020141	-76.952135238	346.4		
T	-12.011085261	-76.952030591	344.4		
T	-12.011110054	-76.951902126	340.6		
T	-12.011077670	-76.951842612	338.4		
T	-12.011050635	-76.951714602	334.2		
T	-12.011063054	-76.951453768	329.0		
T	-12.011035817	-76.951325151	326.7		
T	-12.011015355	-76.951228517	325.0		
T	-12.010997842	-76.951097611	322.8		
T	-12.010971448	-76.950867603	318.9		
T	-12.010948745	-76.950536235	317.9		
T	-12.010939210	-76.950370160	317.7		
T	-12.010928590	-76.950170772	317.5		
T	-12.010917842	-76.949971359	317.2		
T	-12.010907284	-76.949771974	316.5		
T	-12.010897612	-76.949639276	316.1		
T	-12.010890142	-76.949539739	315.8		
T	-12.010877292	-76.949340667	315.2		
T	-12.010860909	-76.949108270	314.4		
T	-12.010849388	-76.948975529	313.7		
T	-12.010833302	-76.948776188	312.7		
T	-12.010818583	-76.948576830	311.5		
T	-12.010806262	-76.948410692	310.6		
T	-12.010796583	-76.948244519	309.8		
T	-12.010755310	-76.948146575	309.5		
T	-12.010713123	-76.948015211	309.1		
T	-12.010668040	-76.947850434	308.5		
T	-12.010655793	-76.947617323	307.4		
T	-12.010641936	-76.947350818	306.7		
T	-12.010597692	-76.947185927	306.8		
T	-12.010581872	-76.946985902	306.7		
T	-12.010568118	-76.946852440	306.7		
T	-12.010618821	-76.946482817	306.2		
T	-12.010791204	-76.946342492	305.1		
T	-12.010823588	-76.946274576	305.0		
T	-12.010926813	-76.946170695	305.1		
T	-12.011081223	-76.945930609	305.5		
T	-12.011110512	-76.945829570	305.7		
T	-12.011209110	-76.945659786	306.1		
T	-12.011200424	-76.945460885	306.7		
